
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
BM08B-SRSS-TB                    XP761                            139   1   4   4   1 4      4 0 GND                 8224769
BM08B-SRSS-TB                    XP761                            139   1   5   5   1 5      5 0 V_H.6               6123521
BM08B-SRSS-TB                    XP761                            139   1   6   6   1 6      6 0 H1.6                7782401
BM08B-SRSS-TB                    XP761                            139   1   7   7   1 7      7 0 H2.6                7786497
BM08B-SRSS-TB                    XP761                            139   1   8   8   1 8      8 0 H3.6                7790593
BM08B-SRSS-TB                    XP761                              0   2   1   1   2 9      9 1 GND                 8224769
BM08B-SRSS-TB                    XP761                              0   2   1   1   3 10    10 1 GND                 8224769
CAP-0402_1.0u_X5R_10V            C210                             317   1   1   1   1 1      1 0 V_CAN.1             7372801
CAP-0402_1.0u_X5R_10V            C210                             317   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_1.0u_X5R_10V            C310                             318   1   1   1   1 1      1 0 V_CAN.2             7577601
CAP-0402_1.0u_X5R_10V            C310                             318   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_1.0u_X5R_10V            C410                             319   1   1   1   1 1      1 0 V_CAN.3             7168001
CAP-0402_1.0u_X5R_10V            C410                             319   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_1.0u_X5R_10V            C510                             322   1   1   1   1 1      1 0 V_CAN.4             6672385
CAP-0402_1.0u_X5R_10V            C510                             322   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_1.0u_X5R_10V            C610                             321   1   1   1   1 1      1 0 V_CAN.5             6877185
CAP-0402_1.0u_X5R_10V            C610                             321   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_1.0u_X5R_10V            C710                             320   1   1   1   1 1      1 0 V_CAN.6             6467585
CAP-0402_1.0u_X5R_10V            C710                             320   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C208                             207   1   1   1   1 1      1 0 V_H.1               4014081
CAP-0402_2.2u__X5R_6.3V          C208                             207   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C244                             198   1   1   1   1 1      1 0 XSIG010163          372737
CAP-0402_2.2u__X5R_6.3V          C244                             198   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C245                             203   1   1   1   1 1      1 0 XSIG010291          876545
CAP-0402_2.2u__X5R_6.3V          C245                             203   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C308                             208   1   1   1   1 1      1 0 V_H.2               6041601
CAP-0402_2.2u__X5R_6.3V          C308                             208   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C344                             197   1   1   1   1 1      1 0 XSIG011428          4182017
CAP-0402_2.2u__X5R_6.3V          C344                             197   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C345                             202   1   1   1   1 1      1 0 XSIG011480          4354049
CAP-0402_2.2u__X5R_6.3V          C345                             202   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C408                             209   1   1   1   1 1      1 0 V_H.3               6066177
CAP-0402_2.2u__X5R_6.3V          C408                             209   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C444                             196   1   1   1   1 1      1 0 XSIG011530          4521985
CAP-0402_2.2u__X5R_6.3V          C444                             196   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C445                             201   1   1   1   1 1      1 0 XSIG011582          4694017
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
CAP-0402_2.2u__X5R_6.3V          C445                             201   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C508                             205   1   1   1   1 1      1 0 V_H.4               6078465
CAP-0402_2.2u__X5R_6.3V          C508                             205   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C544                             195   1   1   1   1 1      1 0 XSIG011615          4796417
CAP-0402_2.2u__X5R_6.3V          C544                             195   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C545                             200   1   1   1   1 1      1 0 XSIG011667          4968449
CAP-0402_2.2u__X5R_6.3V          C545                             200   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C608                             206   1   1   1   1 1      1 0 V_H.5               6098945
CAP-0402_2.2u__X5R_6.3V          C608                             206   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C644                             194   1   1   1   1 1      1 0 XSIG011700          5070849
CAP-0402_2.2u__X5R_6.3V          C644                             194   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C645                             199   1   1   1   1 1      1 0 XSIG011752          5242881
CAP-0402_2.2u__X5R_6.3V          C645                             199   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C708                             204   1   1   1   1 1      1 0 V_H.6               6123521
CAP-0402_2.2u__X5R_6.3V          C708                             204   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C744                             192   1   1   1   1 1      1 0 XSIG011785          5345281
CAP-0402_2.2u__X5R_6.3V          C744                             192   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_2.2u__X5R_6.3V          C745                             193   1   1   1   1 1      1 0 XSIG011837          5517313
CAP-0402_2.2u__X5R_6.3V          C745                             193   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_3.3n_10%_X7R_50V        C204                             293   1   1   1   1 1      1 0 XSIG011343          3944449
CAP-0402_3.3n_10%_X7R_50V        C204                             293   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_3.3n_10%_X7R_50V        C275                             304   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_3.3n_10%_X7R_50V        C275                             304   1   2   1   1 2      2 0 PA5.1               8163329
CAP-0402_3.3n_10%_X7R_50V        C304                             294   1   1   1   1 1      1 0 XSIG011285          3760129
CAP-0402_3.3n_10%_X7R_50V        C304                             294   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_3.3n_10%_X7R_50V        C375                             303   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_3.3n_10%_X7R_50V        C375                             303   1   2   1   1 2      2 0 PA5.2               8212481
CAP-0402_3.3n_10%_X7R_50V        C404                             295   1   1   1   1 1      1 0 XSIG011225          3575809
CAP-0402_3.3n_10%_X7R_50V        C404                             295   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_3.3n_10%_X7R_50V        C475                             300   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_3.3n_10%_X7R_50V        C475                             300   1   2   1   1 2      2 0 PA5.3               8187905
CAP-0402_3.3n_10%_X7R_50V        C504                             298   1   1   1   1 1      1 0 XSIG010948          2777089
CAP-0402_3.3n_10%_X7R_50V        C504                             298   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_3.3n_10%_X7R_50V        C575                             299   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_3.3n_10%_X7R_50V        C575                             299   1   2   1   1 2      2 0 PA4.5               7938049
CAP-0402_3.3n_10%_X7R_50V        C604                             297   1   1   1   1 1      1 0 XSIG011032          2969601
CAP-0402_3.3n_10%_X7R_50V        C604                             297   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_3.3n_10%_X7R_50V        C675                             302   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_3.3n_10%_X7R_50V        C675                             302   1   2   1   1 2      2 0 PA5.5               7860225
CAP-0402_3.3n_10%_X7R_50V        C704                             296   1   1   1   1 1      1 0 XSIG011089          3153921
CAP-0402_3.3n_10%_X7R_50V        C704                             296   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_3.3n_10%_X7R_50V        C775                             301   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_3.3n_10%_X7R_50V        C775                             301   1   2   1   1 2      2 0 PA5.6               7770113
CAP-0402_10p_5%_NP0_50V          C273                             138   1   1   1   1 1      1 0 VM.1                8146945
CAP-0402_10p_5%_NP0_50V          C273                             138   1   2   1   1 2      2 0 XSIG010041          147457
CAP-0402_10p_5%_NP0_50V          C373                             137   1   1   1   1 1      1 0 VM.2                8196097
CAP-0402_10p_5%_NP0_50V          C373                             137   1   2   1   1 2      2 0 XSIG010417          1167361
CAP-0402_10p_5%_NP0_50V          C473                             136   1   1   1   1 1      1 0 VM.3                8171521
CAP-0402_10p_5%_NP0_50V          C473                             136   1   2   1   1 2      2 0 XSIG010480          1359873
CAP-0402_10p_5%_NP0_50V          C573                             135   1   1   1   1 1      1 0 VM.4                7897089
CAP-0402_10p_5%_NP0_50V          C573                             135   1   2   1   1 2      2 0 XSIG010534          1531905
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
CAP-0402_10p_5%_NP0_50V          C673                             134   1   1   1   1 1      1 0 VM.5                7843841
CAP-0402_10p_5%_NP0_50V          C673                             134   1   2   1   1 2      2 0 XSIG010588          1703937
CAP-0402_10p_5%_NP0_50V          C773                             133   1   1   1   1 1      1 0 VM.6                7741441
CAP-0402_10p_5%_NP0_50V          C773                             133   1   2   1   1 2      2 0 XSIG010642          1875969
CAP-0402_15p_5%_NP0_50V          C241                             191   1   1   1   1 1      1 0 XSIG010148          315393
CAP-0402_15p_5%_NP0_50V          C241                             191   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_15p_5%_NP0_50V          C242                             185   1   1   1   1 1      1 0 XSIG010146          311297
CAP-0402_15p_5%_NP0_50V          C242                             185   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_15p_5%_NP0_50V          C341                             190   1   1   1   1 1      1 0 XSIG011413          4124673
CAP-0402_15p_5%_NP0_50V          C341                             190   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_15p_5%_NP0_50V          C342                             184   1   1   1   1 1      1 0 XSIG011411          4120577
CAP-0402_15p_5%_NP0_50V          C342                             184   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_15p_5%_NP0_50V          C441                             189   1   1   1   1 1      1 0 XSIG011515          4464641
CAP-0402_15p_5%_NP0_50V          C441                             189   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_15p_5%_NP0_50V          C442                             183   1   1   1   1 1      1 0 XSIG011513          4460545
CAP-0402_15p_5%_NP0_50V          C442                             183   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_15p_5%_NP0_50V          C541                             188   1   1   1   1 1      1 0 XSIG011600          4739073
CAP-0402_15p_5%_NP0_50V          C541                             188   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_15p_5%_NP0_50V          C542                             182   1   1   1   1 1      1 0 XSIG011598          4734977
CAP-0402_15p_5%_NP0_50V          C542                             182   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_15p_5%_NP0_50V          C641                             187   1   1   1   1 1      1 0 XSIG011685          5013505
CAP-0402_15p_5%_NP0_50V          C641                             187   1   2   1   1 2      2 0 GND                 8224769
