
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
CAP-0603_10u_10%_X5R_10V         C671                              62   1   1   1   1 1      1 0 XSIG010592          1716225
CAP-0603_10u_10%_X5R_10V         C671                              62   1   2   1   1 2      2 0 GND                 8224769
CAP-0603_10u_10%_X5R_10V         C705                              76   1   1   1   1 1      1 0 GND                 8224769
CAP-0603_10u_10%_X5R_10V         C705                              76   1   2   1   1 2      2 0 XSIG011114          3244033
CAP-0603_10u_10%_X5R_10V         C706                              70   1   1   1   1 1      1 0 GND                 8224769
CAP-0603_10u_10%_X5R_10V         C706                              70   1   2   1   1 2      2 0 XSIG011114          3244033
CAP-0603_10u_10%_X5R_10V         C750                              53   1   1   1   1 1      1 0 V_MPU.6             8339457
CAP-0603_10u_10%_X5R_10V         C750                              53   1   2   1   1 2      2 0 GND                 8224769
CAP-0603_10u_10%_X5R_10V         C751                              55   1   1   1   1 1      1 0 V_MPU.6             8339457
CAP-0603_10u_10%_X5R_10V         C751                              55   1   2   1   1 2      2 0 GND                 8224769
CAP-0603_10u_10%_X5R_10V         C771                              61   1   1   1   1 1      1 0 XSIG010646          1888257
CAP-0603_10u_10%_X5R_10V         C771                              61   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C202                              42   1   1   1   1 1      1 0 XSIG011390          4091905
CAP-0805_10u_10%_X7R_25V         C202                              42   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C203                              36   1   1   1   1 1      1 0 XSIG011390          4091905
CAP-0805_10u_10%_X7R_25V         C203                              36   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C268                              48   1   1   1   1 1      1 0 V_MOT.1             4038657
CAP-0805_10u_10%_X7R_25V         C268                              48   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C274                              30   1   1   1   1 1      1 0 VM.1                8146945
CAP-0805_10u_10%_X7R_25V         C274                              30   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C281                               9   1   1   1   1 1      1 0 VM.1R               8577025
CAP-0805_10u_10%_X7R_25V         C281                               9   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C282                               8   1   1   1   1 1      1 0 VM.1R               8577025
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
CAP-0805_10u_10%_X7R_25V         C282                               8   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C283                               7   1   1   1   1 1      1 0 VM.1R               8577025
CAP-0805_10u_10%_X7R_25V         C283                               7   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C302                              41   1   1   1   1 1      1 0 XSIG011332          3907585
CAP-0805_10u_10%_X7R_25V         C302                              41   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C303                              35   1   1   1   1 1      1 0 XSIG011332          3907585
CAP-0805_10u_10%_X7R_25V         C303                              35   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C368                              47   1   1   1   1 1      1 0 V_MOT.2             3854337
CAP-0805_10u_10%_X7R_25V         C368                              47   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C374                              29   1   1   1   1 1      1 0 VM.2                8196097
CAP-0805_10u_10%_X7R_25V         C374                              29   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C381                              13   1   1   1   1 1      1 0 VM.2R               8544257
CAP-0805_10u_10%_X7R_25V         C381                              13   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C382                              11   1   1   1   1 1      1 0 VM.2R               8544257
CAP-0805_10u_10%_X7R_25V         C382                              11   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C383                              10   1   1   1   1 1      1 0 VM.2R               8544257
CAP-0805_10u_10%_X7R_25V         C383                              10   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C402                              40   1   1   1   1 1      1 0 XSIG011271          3723265
CAP-0805_10u_10%_X7R_25V         C402                              40   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C403                              34   1   1   1   1 1      1 0 XSIG011271          3723265
CAP-0805_10u_10%_X7R_25V         C403                              34   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C468                              46   1   1   1   1 1      1 0 V_MOT.3             3670017
CAP-0805_10u_10%_X7R_25V         C468                              46   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C474                              28   1   1   1   1 1      1 0 VM.3                8171521
CAP-0805_10u_10%_X7R_25V         C474                              28   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C481                              15   1   1   1   1 1      1 0 VM.3R               8511489
CAP-0805_10u_10%_X7R_25V         C481                              15   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C482                              14   1   1   1   1 1      1 0 VM.3R               8511489
CAP-0805_10u_10%_X7R_25V         C482                              14   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C483                              12   1   1   1   1 1      1 0 VM.3R               8511489
CAP-0805_10u_10%_X7R_25V         C483                              12   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C502                              39   1   1   1   1 1      1 0 XSIG011021          2932737
CAP-0805_10u_10%_X7R_25V         C502                              39   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C503                              33   1   1   1   1 1      1 0 XSIG011021          2932737
CAP-0805_10u_10%_X7R_25V         C503                              33   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C568                              45   1   1   1   1 1      1 0 V_MOT.4             2871297
CAP-0805_10u_10%_X7R_25V         C568                              45   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C574                              27   1   1   1   1 1      1 0 VM.4                7897089
CAP-0805_10u_10%_X7R_25V         C574                              27   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C581                              21   1   1   1   1 1      1 0 VM.4R               8478721
CAP-0805_10u_10%_X7R_25V         C581                              21   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C582                              20   1   1   1   1 1      1 0 VM.4R               8478721
CAP-0805_10u_10%_X7R_25V         C582                              20   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C583                              18   1   1   1   1 1      1 0 VM.4R               8478721
CAP-0805_10u_10%_X7R_25V         C583                              18   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C602                              38   1   1   1   1 1      1 0 XSIG011078          3117057
CAP-0805_10u_10%_X7R_25V         C602                              38   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C603                              32   1   1   1   1 1      1 0 XSIG011078          3117057
CAP-0805_10u_10%_X7R_25V         C603                              32   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C668                              44   1   1   1   1 1      1 0 V_MOT.5             3063809
CAP-0805_10u_10%_X7R_25V         C668                              44   1   2   1   1 2      2 0 GND                 8224769
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
CAP-0805_10u_10%_X7R_25V         C674                              26   1   1   1   1 1      1 0 VM.5                7843841
CAP-0805_10u_10%_X7R_25V         C674                              26   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C681                              19   1   1   1   1 1      1 0 VM.5R               7847937
CAP-0805_10u_10%_X7R_25V         C681                              19   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C682                              17   1   1   1   1 1      1 0 VM.5R               7847937
CAP-0805_10u_10%_X7R_25V         C682                              17   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C683                              16   1   1   1   1 1      1 0 VM.5R               7847937
CAP-0805_10u_10%_X7R_25V         C683                              16   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C702                              37   1   1   1   1 1      1 0 XSIG011136          3301377
CAP-0805_10u_10%_X7R_25V         C702                              37   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C703                              31   1   1   1   1 1      1 0 XSIG011136          3301377
CAP-0805_10u_10%_X7R_25V         C703                              31   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C768                              43   1   1   1   1 1      1 0 V_MOT.6             7774209
CAP-0805_10u_10%_X7R_25V         C768                              43   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C774                              25   1   1   1   1 1      1 0 VM.6                7741441
CAP-0805_10u_10%_X7R_25V         C774                              25   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C781                              24   1   1   1   1 1      1 0 VM.6R               7749633
CAP-0805_10u_10%_X7R_25V         C781                              24   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C782                              23   1   1   1   1 1      1 0 VM.6R               7749633
CAP-0805_10u_10%_X7R_25V         C782                              23   1   2   1   1 2      2 0 GND                 8224769
CAP-0805_10u_10%_X7R_25V         C783                              22   1   1   1   1 1      1 0 VM.6R               7749633
CAP-0805_10u_10%_X7R_25V         C783                              22   1   2   1   1 2      2 0 GND                 8224769
DLW21SN921SK2                    ZC101                            148   1   1   1   1 1      1 0 CANH.A              7548929
DLW21SN921SK2                    ZC101                            148   1   2   2   1 2      2 0 XSIG010122          212993
DLW21SN921SK2                    ZC101                            148   1   3   3   1 3      3 0 XSIG010121          208897
DLW21SN921SK2                    ZC101                            148   1   4   4   1 4      4 0 CANL.A              7553025
DLW21SN921SK2                    ZC102                            147   1   1   1   1 1      1 0 CANH.B              7581697
DLW21SN921SK2                    ZC102                            147   1   2   2   1 2      2 0 XSIG010128          237569
DLW21SN921SK2                    ZC102                            147   1   3   3   1 3      3 0 XSIG010127          233473
DLW21SN921SK2                    ZC102                            147   1   4   4   1 4      4 0 CANL.B              7585793
EMIF02-02OABRY                   VD101                            146   1   1   1   1 1      1 0 XSIG010122          212993
EMIF02-02OABRY                   VD101                            146   1   2   2   1 3      3 0 XSIG010121          208897
EMIF02-02OABRY                   VD101                            146   1   3   3   1 4      4 0 CANL.1              5763073
EMIF02-02OABRY                   VD101                            146   1   4   4   1 6      6 0 CANH.1              5758977
EMIF02-02OABRY                   VD101                            146   2   1   1   2 5      5 0 GND                 8224769
EMIF02-02OABRY                   VD101                            146   2   1   1   3 2      2 0 GND                 8224769
EMIF02-02OABRY                   VD102                            145   1   1   1   1 1      1 0 XSIG010128          237569
EMIF02-02OABRY                   VD102                            145   1   2   2   1 3      3 0 XSIG010127          233473
EMIF02-02OABRY                   VD102                            145   1   3   3   1 4      4 0 CANL.2              5718017
EMIF02-02OABRY                   VD102                            145   1   4   4   1 6      6 0 CANH.2              5705729
EMIF02-02OABRY                   VD102                            145   2   1   1   2 5      5 0 GND                 8224769
EMIF02-02OABRY                   VD102                            145   2   1   1   3 2      2 0 GND                 8224769
ESD5Z12T1G                       VD201                            379   1   1   1   1 1      1 0 P.2                 6217729
ESD5Z12T1G                       VD201                            379   1   2   2   1 2      2 0 GND                 8224769
ESD5Z12T1G                       VD301                            378   1   1   1   1 1      1 0 P.3                 5791745
ESD5Z12T1G                       VD301                            378   1   2   2   1 2      2 0 GND                 8224769
ESD5Z12T1G                       VD401                            377   1   1   1   1 1      1 0 P.4                 5783553
ESD5Z12T1G                       VD401                            377   1   2   2   1 2      2 0 GND                 8224769
ESD5Z12T1G                       VD501                            376   1   1   1   1 1      1 0 P.6                 5750785
ESD5Z12T1G                       VD501                            376   1   2   2   1 2      2 0 GND                 8224769
ESD5Z12T1G                       VD601                            375   1   1   1   1 1      1 0 P.7                 5754881
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
ESD5Z12T1G                       VD601                            375   1   2   2   1 2      2 0 GND                 8224769
ESD5Z12T1G                       VD701                            374   1   1   1   1 1      1 0 P.8                 5767169
ESD5Z12T1G                       VD701                            374   1   2   2   1 2      2 0 GND                 8224769
FAN3100TSX                       DA281                            402   1   1   1   1 3      3 0 XSIG012932          8572929
FAN3100TSX                       DA281                            402   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA281                            402   1   3   3   1 5      5 0 XSIG012532          7438337
FAN3100TSX                       DA281                            402   1   4   4   1 1      1 0 VM.1R               8577025
FAN3100TSX                       DA281                            402   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA282                            401   1   1   1   1 3      3 0 VM.1R               8577025
FAN3100TSX                       DA282                            401   1   2   2   1 4      4 0 XSIG012586          7626753
FAN3100TSX                       DA282                            401   1   3   3   1 5      5 0 XSIG012530          7430145
FAN3100TSX                       DA282                            401   1   4   4   1 1      1 0 VM.1R               8577025
FAN3100TSX                       DA282                            401   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA283                            400   1   1   1   1 3      3 0 XSIG012929          8560641
FAN3100TSX                       DA283                            400   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA283                            400   1   3   3   1 5      5 0 XSIG012540          7471105
FAN3100TSX                       DA283                            400   1   4   4   1 1      1 0 VM.1R               8577025
FAN3100TSX                       DA283                            400   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA284                            399   1   1   1   1 3      3 0 VM.1R               8577025
FAN3100TSX                       DA284                            399   1   2   2   1 4      4 0 XSIG012583          7614465
FAN3100TSX                       DA284                            399   1   3   3   1 5      5 0 XSIG012538          7462913
FAN3100TSX                       DA284                            399   1   4   4   1 1      1 0 VM.1R               8577025
FAN3100TSX                       DA284                            399   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA285                            398   1   1   1   1 3      3 0 XSIG012927          8552449
FAN3100TSX                       DA285                            398   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA285                            398   1   3   3   1 5      5 0 XSIG012547          7499777
FAN3100TSX                       DA285                            398   1   4   4   1 1      1 0 VM.1R               8577025
FAN3100TSX                       DA285                            398   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA286                            397   1   1   1   1 3      3 0 VM.1R               8577025
FAN3100TSX                       DA286                            397   1   2   2   1 4      4 0 XSIG012581          7606273
FAN3100TSX                       DA286                            397   1   3   3   1 5      5 0 XSIG012545          7491585
FAN3100TSX                       DA286                            397   1   4   4   1 1      1 0 VM.1R               8577025
FAN3100TSX                       DA286                            397   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA381                            408   1   1   1   1 3      3 0 XSIG012915          8527873
FAN3100TSX                       DA381                            408   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA381                            408   1   3   3   1 5      5 0 XSIG012474          7233537
FAN3100TSX                       DA381                            408   1   4   4   1 1      1 0 VM.2R               8544257
FAN3100TSX                       DA381                            408   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA382                            407   1   1   1   1 3      3 0 VM.2R               8544257
FAN3100TSX                       DA382                            407   1   2   2   1 4      4 0 XSIG012528          7421953
FAN3100TSX                       DA382                            407   1   3   3   1 5      5 0 XSIG012472          7225345
FAN3100TSX                       DA382                            407   1   4   4   1 1      1 0 VM.2R               8544257
FAN3100TSX                       DA382                            407   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA383                            406   1   1   1   1 3      3 0 XSIG012916          8531969
FAN3100TSX                       DA383                            406   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA383                            406   1   3   3   1 5      5 0 XSIG012482          7266305
FAN3100TSX                       DA383                            406   1   4   4   1 1      1 0 VM.2R               8544257
FAN3100TSX                       DA383                            406   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA384                            405   1   1   1   1 3      3 0 VM.2R               8544257
FAN3100TSX                       DA384                            405   1   2   2   1 4      4 0 XSIG012525          7409665
FAN3100TSX                       DA384                            405   1   3   3   1 5      5 0 XSIG012480          7258113
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
FAN3100TSX                       DA384                            405   1   4   4   1 1      1 0 VM.2R               8544257
FAN3100TSX                       DA384                            405   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA385                            404   1   1   1   1 3      3 0 XSIG012918          8540161
FAN3100TSX                       DA385                            404   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA385                            404   1   3   3   1 5      5 0 XSIG012489          7294977
FAN3100TSX                       DA385                            404   1   4   4   1 1      1 0 VM.2R               8544257
FAN3100TSX                       DA385                            404   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA386                            403   1   1   1   1 3      3 0 VM.2R               8544257
FAN3100TSX                       DA386                            403   1   2   2   1 4      4 0 XSIG012523          7401473
FAN3100TSX                       DA386                            403   1   3   3   1 5      5 0 XSIG012487          7286785
FAN3100TSX                       DA386                            403   1   4   4   1 1      1 0 VM.2R               8544257
FAN3100TSX                       DA386                            403   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA481                            414   1   1   1   1 3      3 0 XSIG012902          8491009
FAN3100TSX                       DA481                            414   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA481                            414   1   3   3   1 5      5 0 XSIG012412          7028737
FAN3100TSX                       DA481                            414   1   4   4   1 1      1 0 VM.3R               8511489
FAN3100TSX                       DA481                            414   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA482                            413   1   1   1   1 3      3 0 VM.3R               8511489
FAN3100TSX                       DA482                            413   1   2   2   1 4      4 0 XSIG012469          7217153
FAN3100TSX                       DA482                            413   1   3   3   1 5      5 0 XSIG012410          7020545
FAN3100TSX                       DA482                            413   1   4   4   1 1      1 0 VM.3R               8511489
FAN3100TSX                       DA482                            413   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA483                            412   1   1   1   1 3      3 0 XSIG012904          8499201
FAN3100TSX                       DA483                            412   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA483                            412   1   3   3   1 5      5 0 XSIG012420          7061505
FAN3100TSX                       DA483                            412   1   4   4   1 1      1 0 VM.3R               8511489
FAN3100TSX                       DA483                            412   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA484                            411   1   1   1   1 3      3 0 VM.3R               8511489
FAN3100TSX                       DA484                            411   1   2   2   1 4      4 0 XSIG012465          7204865
FAN3100TSX                       DA484                            411   1   3   3   1 5      5 0 XSIG012418          7053313
FAN3100TSX                       DA484                            411   1   4   4   1 1      1 0 VM.3R               8511489
FAN3100TSX                       DA484                            411   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA485                            410   1   1   1   1 3      3 0 XSIG012906          8507393
FAN3100TSX                       DA485                            410   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA485                            410   1   3   3   1 5      5 0 XSIG012427          7090177
FAN3100TSX                       DA485                            410   1   4   4   1 1      1 0 VM.3R               8511489
FAN3100TSX                       DA485                            410   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA486                            409   1   1   1   1 3      3 0 VM.3R               8511489
FAN3100TSX                       DA486                            409   1   2   2   1 4      4 0 XSIG012462          7196673
FAN3100TSX                       DA486                            409   1   3   3   1 5      5 0 XSIG012425          7081985
FAN3100TSX                       DA486                            409   1   4   4   1 1      1 0 VM.3R               8511489
FAN3100TSX                       DA486                            409   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA581                            390   1   1   1   1 3      3 0 XSIG012892          8474625
FAN3100TSX                       DA581                            390   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA581                            390   1   3   3   1 5      5 0 XSIG012190          6533121
FAN3100TSX                       DA581                            390   1   4   4   1 1      1 0 VM.4R               8478721
FAN3100TSX                       DA581                            390   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA582                            389   1   1   1   1 3      3 0 VM.4R               8478721
FAN3100TSX                       DA582                            389   1   2   2   1 4      4 0 XSIG012247          6721537
FAN3100TSX                       DA582                            389   1   3   3   1 5      5 0 XSIG012188          6524929
FAN3100TSX                       DA582                            389   1   4   4   1 1      1 0 VM.4R               8478721
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
FAN3100TSX                       DA582                            389   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA583                            388   1   1   1   1 3      3 0 XSIG012890          8466433
FAN3100TSX                       DA583                            388   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA583                            388   1   3   3   1 5      5 0 XSIG012198          6565889
FAN3100TSX                       DA583                            388   1   4   4   1 1      1 0 VM.4R               8478721
FAN3100TSX                       DA583                            388   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA584                            387   1   1   1   1 3      3 0 VM.4R               8478721
FAN3100TSX                       DA584                            387   1   2   2   1 4      4 0 XSIG012243          6709249
FAN3100TSX                       DA584                            387   1   3   3   1 5      5 0 XSIG012196          6557697
FAN3100TSX                       DA584                            387   1   4   4   1 1      1 0 VM.4R               8478721
FAN3100TSX                       DA584                            387   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA585                            422   1   1   1   1 3      3 0 XSIG012882          8454145
FAN3100TSX                       DA585                            422   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA585                            422   1   3   3   1 5      5 0 XSIG012205          6594561
FAN3100TSX                       DA585                            422   1   4   4   1 1      1 0 VM.4R               8478721
FAN3100TSX                       DA585                            422   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA586                            421   1   1   1   1 3      3 0 VM.4R               8478721
FAN3100TSX                       DA586                            421   1   2   2   1 4      4 0 XSIG012240          6701057
FAN3100TSX                       DA586                            421   1   3   3   1 5      5 0 XSIG012203          6586369
FAN3100TSX                       DA586                            421   1   4   4   1 1      1 0 VM.4R               8478721
FAN3100TSX                       DA586                            421   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA681                            420   1   1   1   1 3      3 0 XSIG012876          8445953
FAN3100TSX                       DA681                            420   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA681                            420   1   3   3   1 5      5 0 XSIG012252          6737921
FAN3100TSX                       DA681                            420   1   4   4   1 1      1 0 VM.5R               7847937
FAN3100TSX                       DA681                            420   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA682                            419   1   1   1   1 3      3 0 VM.5R               7847937
FAN3100TSX                       DA682                            419   1   2   2   1 4      4 0 XSIG012309          6926337
FAN3100TSX                       DA682                            419   1   3   3   1 5      5 0 XSIG012250          6729729
FAN3100TSX                       DA682                            419   1   4   4   1 1      1 0 VM.5R               7847937
FAN3100TSX                       DA682                            419   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA683                            418   1   1   1   1 3      3 0 XSIG012874          8437761
FAN3100TSX                       DA683                            418   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA683                            418   1   3   3   1 5      5 0 XSIG012260          6770689
FAN3100TSX                       DA683                            418   1   4   4   1 1      1 0 VM.5R               7847937
FAN3100TSX                       DA683                            418   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA684                            417   1   1   1   1 3      3 0 VM.5R               7847937
FAN3100TSX                       DA684                            417   1   2   2   1 4      4 0 XSIG012305          6914049
FAN3100TSX                       DA684                            417   1   3   3   1 5      5 0 XSIG012258          6762497
FAN3100TSX                       DA684                            417   1   4   4   1 1      1 0 VM.5R               7847937
FAN3100TSX                       DA684                            417   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA685                            416   1   1   1   1 3      3 0 XSIG012871          8429569
FAN3100TSX                       DA685                            416   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA685                            416   1   3   3   1 5      5 0 XSIG012267          6799361
FAN3100TSX                       DA685                            416   1   4   4   1 1      1 0 VM.5R               7847937
FAN3100TSX                       DA685                            416   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA686                            415   1   1   1   1 3      3 0 VM.5R               7847937
FAN3100TSX                       DA686                            415   1   2   2   1 4      4 0 XSIG012302          6905857
FAN3100TSX                       DA686                            415   1   3   3   1 5      5 0 XSIG012265          6791169
FAN3100TSX                       DA686                            415   1   4   4   1 1      1 0 VM.5R               7847937
FAN3100TSX                       DA686                            415   2   1   1   2 2      2 0 GND                 8224769
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
FAN3100TSX                       DA781                            396   1   1   1   1 3      3 0 XSIG012864          8417281
FAN3100TSX                       DA781                            396   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA781                            396   1   3   3   1 5      5 0 XSIG012075          6238209
FAN3100TSX                       DA781                            396   1   4   4   1 1      1 0 VM.6R               7749633
FAN3100TSX                       DA781                            396   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA782                            395   1   1   1   1 3      3 0 VM.6R               7749633
FAN3100TSX                       DA782                            395   1   2   2   1 4      4 0 XSIG012185          6516737
FAN3100TSX                       DA782                            395   1   3   3   1 5      5 0 XSIG012073          6230017
FAN3100TSX                       DA782                            395   1   4   4   1 1      1 0 VM.6R               7749633
FAN3100TSX                       DA782                            395   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA783                            394   1   1   1   1 3      3 0 XSIG012861          8404993
FAN3100TSX                       DA783                            394   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA783                            394   1   3   3   1 5      5 0 XSIG012086          6275073
FAN3100TSX                       DA783                            394   1   4   4   1 1      1 0 VM.6R               7749633
FAN3100TSX                       DA783                            394   2   1   1   2 2      2 0 GND                 8224769
