=======================================================================
Expedition PCB - Pinnacle - Version EXP2005.1_060615.00 2005.1
=======================================================================

RELOAD CELLS

Job Directory:  C:\Mentor_proj\408\PCB\


Design Units:(mm)

Replace Cell Log:   repCellLog33.txt

Tue Nov 30 18:17:43 2021

Reference Designator            Cell Name                         New Cell Name
===============================================================================


---------------  RELOAD CELLS  Tue Nov 30 18:17:43 2021  ---------------


C303                            CAPC2012X135N                     CAPC2012X135N                   
C262                            CAPC1005X55N                      CAPC1005X55N                    
DA601                           SIL0008E                          SIL0008E                        
C307                            CAPC1005X55N                      CAPC1005X55N                    
C668                            CAPC2012X135N                     CAPC2012X135N                   
C673                            CAPC1005X55N                      CAPC1005X55N                    
DA705                           SOT95P280X145-5N                  SOT95P280X145-5N                
C604                            CAPC1005X55N                      CAPC1005X55N                    
C209                            CAPC1005X55N                      CAPC1005X55N                    
C464                            CAPC1005X55N                      CAPC1005X55N                    
DA704                           SOT95P280X145-5N                  SOT95P280X145-5N                
C562                            CAPC1005X55N                      CAPC1005X55N                    
C461                            CAPC1608X90N                      CAPC1608X90N                    
C204                            CAPC2012X135N                     CAPC2012X135N                   
C266                            CAPC1608X90N                      CAPC1608X90N                    
C261                            CAPC1608X90N                      CAPC1608X90N                    
C244                            CAPC1005X55N                      CAPC1005X55N                    
C670                            CAPC1005X55N                      CAPC1005X55N                    
C202                            CAPC2012X135N                     CAPC2012X135N                   
C365                            CAPC1005X55N                      CAPC1005X55N                    
C763                            CAPC1005X55N                      CAPC1005X55N                    
C371                            CAPC1608X90N                      CAPC1608X90N                    
C203                            CAPC1005X55N                      CAPC1005X55N                    
C608                            CAPC1005X55N                      CAPC1005X55N                    
C211                            CAPC1005X55N                      CAPC1005X55N                    
C273                            CAPC1005X55N                      CAPC1005X55N                    
C707                            CAPC1005X55N                      CAPC1005X55N                    
C566                            CAPC1608X90N                      CAPC1608X90N                    
DA603                           SOT95P275X145-6N                  SOT95P275X145-6N                
DA602                           SOT95P280X145-5N                  SOT95P280X145-5N                
C372                            CAPC1005X55N                      CAPC1005X55N                    
C567                            CAPC1005X55N                      CAPC1005X55N                    
C308                            CAPC1005X55N                      CAPC1005X55N                    
C309                            CAPC1005X55N                      CAPC1005X55N                    
C770                            CAPC1005X55N                      CAPC1005X55N                    
C773                            CAPC1005X55N                      CAPC1005X55N                    
C665                            CAPC1005X55N                      CAPC1005X55N                    
C706                            CAPC1608X90N                      CAPC1608X90N                    
C361                            CAPC1608X90N                      CAPC1608X90N                    
C271                            CAPC1608X90N                      CAPC1608X90N                    
DA302                           SOT95P280X145-5N                  SOT95P280X145-5N                
DA605                           SOT95P280X145-5N                  SOT95P280X145-5N                
C243                            CAPC1005X55N                      CAPC1005X55N                    
DA204                           SOT95P275X145-6N                  SOT95P275X145-6N                
C663                            CAPC1005X55N                      CAPC1005X55N                    
C705                            CAPC1608X90N                      CAPC1608X90N                    
C263                            CAPC1005X55N                      CAPC1005X55N                    
DA304                           SOT95P280X145-5N                  SOT95P280X145-5N                
C571                            CAPC1608X90N                      CAPC1608X90N                    
C772                            CAPC1005X55N                      CAPC1005X55N                    
C574                            CAPC2012X135N                     CAPC2012X135N                   
C669                            CAPC1005X55N                      CAPC1005X55N                    
DA703                           SOT95P275X145-6N                  SOT95P275X145-6N                
C246                            CAPC1005X55N                      CAPC1005X55N                    
C250                            CAPC1608X90N                      CAPC1608X90N                    
DA604                           SOT95P280X145-5N                  SOT95P280X145-5N                
C242                            CAPC1005X55N                      CAPC1005X55N                    
C205                            CAPC1005X55N                      CAPC1005X55N                    
C703                            CAPC2012X135N                     CAPC2012X135N                   
C474                            CAPC2012X135N                     CAPC2012X135N                   
C269                            CAPC1005X55N                      CAPC1005X55N                    
C367                            CAPC1005X55N                      CAPC1005X55N                    
C565                            CAPC1005X55N                      CAPC1005X55N                    
C201                            CAPC2012X135N                     CAPC2012X135N                   
DA206                           SOT95P280X145-5N                  SOT95P280X145-5N                
C274                            CAPC2012X135N                     CAPC2012X135N                   
C704                            CAPC1005X55N                      CAPC1005X55N                    
C573                            CAPC1005X55N                      CAPC1005X55N                    
C465                            CAPC1005X55N                      CAPC1005X55N                    
C473                            CAPC1005X55N                      CAPC1005X55N                    
C302                            CAPC2012X135N                     CAPC2012X135N                   
C212                            CAPC1005X55N                      CAPC1005X55N                    
C774                            CAPC2012X135N                     CAPC2012X135N                   
C667                            CAPC1005X55N                      CAPC1005X55N                    
C272                            CAPC1005X55N                      CAPC1005X55N                    
C207                            CAPC2012X135N                     CAPC2012X135N                   
C766                            CAPC1608X90N                      CAPC1608X90N                    
DA303                           SOT95P275X145-6N                  SOT95P275X145-6N                
C268                            CAPC2012X135N                     CAPC2012X135N                   


---------------    Tue Nov 30 18:17:44 2021  ---------------


